log_Mstar,log_Zstar,log_Zgas
8.008363,-2.5524683,-2.6563053
8.690496,-2.1647727,-2.209998
8.454519,-2.1310036,-2.0903864
8.130378,-2.40192,-2.5006104
8.30124,-2.2389388,-2.1757412
9.399701,-1.5365871,-1.5552789
9.358697,-1.4177629,-1.2634721
8.6995735,-2.0326188,-1.9370925
9.276011,-1.4850663,-1.2525723
9.194901,-1.5323436,-1.3461796
9.169273,-1.4959303,-1.3400843
8.656229,-1.6994247,-1.6249194
8.317374,-2.1251218,-2.0399997
8.349074,-1.8708955,-1.8866785
8.748592,-1.7223668,-1.5076399
8.855785,-1.6318977,-1.3484635
8.328535,-1.7539518,-1.6971171
8.158411,-1.8646307,-1.8120812
8.361263,-1.7417266,-1.6687528
8.045797,-1.7126695,-1.6571594
12.321008,-1.6142267,-2.2203267
11.845495,-1.6519638,-1.8283051
10.401801,-1.657132,-1.729876
10.3293915,-1.6801656,-1.7925256
10.886782,-1.4459437,-1.5891966
10.464471,-1.6432428,-1.972496
9.929293,-1.8639485,-1.9293622
10.409843,-1.5821867,-1.477439
9.953087,-1.7672503,-1.7509296
10.314599,-1.6124736,-1.5550536
9.752949,-1.8110385,-1.5876546
9.835477,-1.8132428,-1.4522477
9.1248665,-1.8794013,-2.0121741
9.893902,-1.7443746,-1.472468
9.539015,-1.7803295,-1.6918825
9.913391,-1.7131125,-1.5415457
9.718444,-1.875166,-1.5607388
9.189966,-1.818813,-1.6983533
9.249543,-1.9322295,-1.8391892
8.967698,-2.0378263,-1.9232072
8.941637,-2.0126975,-1.8170433
8.662173,-2.1314948,-2.2184184
8.922935,-2.0578957,-2.0579891
8.704026,-2.258744,-2.1708624
8.895421,-2.1110084,-2.1134548
8.964492,-2.1247034,-1.9600848
9.15318,-1.4595762,-1.3003784
8.980251,-1.5425274,-1.2943603
8.990422,-1.5111667,-1.3566601
12.315178,-1.6094999,-2.2363193
11.162086,-1.6665432,-1.6841359
10.958879,-1.6453394,-1.6814619
10.723803,-1.6341377,-1.9072441
10.664162,-1.740903,-1.8583778
10.653396,-1.5888366,-2.0914102
10.562576,-1.6201643,-1.5983319
10.558221,-1.6408662,-1.4782009
10.435177,-1.6514796,-1.6940292
10.288463,-1.7139208,-1.7087079
10.07112,-1.7221122,-1.6005688
10.186803,-1.6500931,-1.6564441
9.945633,-1.7330817,-1.6439492
10.043761,-1.7180635,-1.6325814
10.047468,-1.8083178,-1.8435463
10.423585,-1.6727662,-1.4111016
10.038739,-1.6737201,-1.6337261
9.910982,-1.7136433,-1.595272
10.234306,-1.6545283,-1.216346
9.697724,-1.891097,-1.934617
9.676517,-1.9204625,-1.855625
9.980019,-1.6945008,-1.4605445
10.106235,-1.7224675,-1.6798912
9.9303465,-1.6941481,-1.6513526
9.536924,-1.9629987,-2.0183923
9.462959,-1.960182,-1.9307884
9.767754,-1.7359715,-1.7439727
9.638717,-1.7772579,-1.5864955
9.453387,-1.8239981,-1.4898796
9.72287,-1.7450396,-1.4233171
9.307205,-1.8784566,-1.9753648
9.068744,-2.0752895,-2.046362
9.409027,-1.8942419,-1.6009886
9.694352,-1.8040078,-1.6282797
9.542038,-1.9221789,-1.4611679
9.1094475,-1.9483687,-1.6873477
9.3300705,-1.9489781,-1.8013264
9.078562,-2.1047325,-2.1445572
8.871776,-2.0475593,-2.0063095
9.394216,-1.8977005,-1.7694309
8.760713,-2.1312559,-2.1456833
9.3644085,-1.8824699,-1.8161258
9.2435255,-2.0221553,-1.900164
8.666484,-2.1063466,-2.1016254
8.842258,-1.9522408,-1.7755673
8.907611,-1.9346408,-1.9269911
8.757836,-2.0460405,-1.9324096
8.09388,-2.5214984,-2.4485116
8.506728,-2.1488116,-1.8991396
8.406877,-2.321899,-2.132559
9.173456,-1.891958,-1.696381
8.54368,-2.138344,-2.1892056
8.237796,-2.2833333,-2.1647458
8.218927,-2.054511,-1.9779488
8.082559,-2.5641744,-2.411306
8.41712,-1.7801359,-1.6388867
8.080914,-1.9071723,-1.84066
8.382553,-1.756281,-1.6664586
8.25291,-1.6897998,-1.6955768
8.072482,-1.8490616,-1.7782497
12.24311,-1.6342356,-2.178635
11.186933,-1.6411203,-1.8259381
10.934146,-1.6581987,-2.208567
10.918926,-1.6755784,-1.7900962
11.138057,-1.5383193,-1.8203859
10.737619,-1.6995553,-1.8212767
10.6809,-1.612282,-1.9317725
10.584156,-1.6553043,-1.622219
10.560828,-1.6686623,-1.6618656
10.288175,-1.6710895,-1.8938146
9.923979,-1.7453773,-1.8945905
10.284727,-1.6379287,-1.4333024
9.776716,-1.8112122,-1.8165325
9.854715,-1.7235557,-1.6760564
10.244821,-1.7844992,-1.5564234
10.02777,-1.8043051,-1.6078508
10.110203,-1.7004845,-1.4080278
8.940973,-2.2323813,-2.2405052
10.036325,-1.6964536,-1.587818
9.1847105,-1.924454,-2.0518627
9.236049,-1.9033346,-1.930946
9.758929,-1.7546555,-1.4008998
8.50657,-2.2676566,-2.2261698
9.671033,-1.8415165,-1.6163571
8.46955,-2.118565,-2.1783607
9.026913,-1.9829961,-2.0526264
8.607484,-2.1693847,-2.3098762
8.709926,-2.0277607,-2.1354296
9.507819,-1.790578,-1.6228694
8.913964,-2.0098147,-1.8881544
8.675284,-2.2643647,-2.3129346
9.439772,-1.9388794,-1.7338732
9.420075,-1.8656678,-1.5971398
9.059836,-2.0381374,-1.8723387
9.484345,-1.7376012,-1.5392369
8.565693,-2.2174747,-2.329424
8.222499,-2.1874003,-2.4277887
8.452488,-2.2280936,-2.0034616
8.826412,-2.0290644,-1.997315
8.662587,-2.2076912,-2.2131038
8.554161,-2.1531086,-2.098559
8.123252,-2.2890966,-2.3768656
8.108891,-2.220183,-2.1868808
8.016296,-1.8544554,-1.8389012
8.214358,-1.9687016,-1.8731278
8.009273,-1.9880936,-1.8635812
12.203162,-1.5939587,-2.1676285
10.945415,-1.6432748,-1.6192092
10.622446,-1.7246265,-1.8830749
9.667829,-1.8268485,-1.9429623
10.131982,-1.7264746,-1.2888587
10.079464,-1.6996459,-1.3403617
9.634116,-1.8808322,-1.8602295
9.725449,-1.9315213,-1.9687897
9.819833,-1.7198722,-1.3701397
