SubhaloID,StellarMass,GasMass,SFR,GasMetallicity,StarMetallicity
343988,82660370000.0,301981730000.0,0.38764137,0.008921681,0.024600696
343989,65685120000.0,49013550000.0,2.1932414,0.018975984,0.021526266
345251,31884218000.0,5196478000.0,0.6451346,0.025416385,0.025212036
345457,80430470000.0,51451740000.0,0.19605114,0.021451054,0.023634763
345813,69388990000.0,7886985700.0,0.025561284,0.011798009,0.02189052
346421,47798886000.0,9620747000.0,0.05977172,0.011114596,0.018089121
348040,29206655000.0,9979713000.0,1.8911995,0.023713488,0.025836496
349625,29994633000.0,21870948000.0,0.00037157018,0.014027658,0.022764115
350487,47822057000.0,32395143000.0,0.002377684,0.012133602,0.02678186
351071,77230830000.0,468491760000.0,0.01728318,0.004414905,0.01791009
351453,97874420000.0,31288451000.0,0.007570924,0.0067159324,0.023251384
352061,93640810000.0,595248550000.0,1.5537268,0.005506967,0.022391507
352579,94663710000.0,19397673000.0,1.0063564,0.016847994,0.022038497
353167,82265530000.0,308449100000.0,0.32040942,0.0069950186,0.025453378
353168,94739866000.0,5524397000.0,0.0026323656,0.006468783,0.021954022
353730,39996633000.0,16726339000.0,10.155713,0.020709798,0.024850722
354239,76338700000.0,204968510000.0,0.49828827,0.008767445,0.023647202
354485,44851750000.0,23588219000.0,1.0141537,0.01356729,0.02045751
354986,99259300000.0,531118260000.0,0.000377806,0.0054031955,0.026500022
355233,50110263000.0,33384532000.0,0.1127946,0.0062901755,0.020025665
355234,38455636000.0,30084293000.0,5.4817357,0.022871917,0.021903178
355538,92030070000.0,32125990000.0,0.66219836,0.02326895,0.024575949
355911,92032370000.0,411677330000.0,0.14240807,0.0050744168,0.028047284
356177,26859475000.0,6734570000.0,1.0880799,0.040139716,0.024711296
356416,25812610000.0,60068094000.0,4.176385,0.01913907,0.02355003
356417,34811670000.0,30835425000.0,2.8801339,0.030880721,0.02570806
359086,99377594000.0,441548700000.0,0.00029305374,0.0077769277,0.021772834
360510,43929700000.0,177283450000.0,6.852739,0.014512544,0.017993186
360916,70348734000.0,376804440000.0,0.046103746,0.0126059605,0.026834514
361189,91824150000.0,352829150000.0,0.051300682,0.0065612113,0.023666088
361190,62983020000.0,61412155000.0,4.28854,0.020070413,0.022063792
361418,80455760000.0,397420530000.0,0.010826427,0.006613746,0.023315491
